53, -660, 63
-60, -484, 62
61, -430, 52
-173, -309, 52
275, 632, 46
94, 635, 50
2813, 1168, 54
2650, 988, 52
4333, -2198, 22
3562, -2720, 61
3488, -2557, 78
3447, -2722, 49
474, -1222, 66
390, -1183, 74
437, -1255, 66
481, -1146, 71
-408, 58, 62
-226, 126, 61
-472, 156, 61
-331, -62, 69
-151, -140, 62
-131, -31, 67
-294, 391, 33
-256, 249, 41
-112, 427, 41
-122, 217, 42
-81, 314, 38
-51, 8, 64
-29, 105, 62
-8, 287, 42
3, 365, 42
20, -98, 65
-11, -273, 63
61, -177, 64
98, 31, 70
98, 113, 62
110, 298, 43
112, -311, 50
117, 454, 52
98, -612, 63
146, -97, 76
78, -527, 67
-3, 571, 53
189, 540, 47
191, -191, 65
198, 325, 42
187, -307, 58
211, 21, 65
225, 86, 64
239, 372, 48
244, -574, 66
255, 250, 42
261, -130, 80
260, -635, 63
262, -253, 65
113, -751, 65
269, -500, 63
303, -79, 81
209, 718, 47
288, 776, 42
317, 195, 48
318, -296, 65
316, -361, 65
322, 77, 68
261, -806, 67
336, -434, 63
332, 360, 46
346, 510, 25
274, -838, 71
349, -774, 67
357, -698, 63
361, 292, 39
360, -529, 63
360, -622, 61
358, -370, 71
230, -933, 61
365, -849, 67
371, -142, 83
381, -233, 74
386, 585, 32
383, -353, 63
388, 464, 23
390, 637, 28
387, -456, 53
379, -63, 82
390, 172, 47
420, -815, 72
415, -553, 52
408, -773, 66
332, -989, 64
342, -1108, 72
422, -1073, 65
368, 767, 37
408, 57, 67
420, -883, 69
432, 325, 22
426, -619, 65
440, -969, 67
431, 577, 32
454, -504, 57
449, -372, 67
440, 188, 46
454, -453, 46
463, 94, 62
462, -643, 67
475, -835, 77
486, -697, 67
491, 278, 27
501, -1022, 72
499, -752, 77
483, 450, 22
508, 146, 42
506, -531, 62
505, 334, 27
497, 193, 42
501, -952, 62
519, 718, 29
519, -610, 62
521, -678, 72
521, 253, 32
371, 838, 32
528, -131, 68
513, -342, 64
492, -1343, 42
535, -1312, 37
542, -261, 64
544, -481, 52
545, -793, 81
533, 63, 42
546, -912, 67
553, -1257, 42
553, -973, 65
537, 869, 28
555, -366, 67
569, -39, 42
582, -568, 69
580, 659, 36
585, 289, 20
524, 956, 26
586, 929, 26
578, -237, 67
592, 509, 21
595, -763, 82
585, -1145, 47
603, -1034, 47
607, -424, 62
608, 790, 28
609, -793, 75
606, 149, 20
620, -87, 32
617, -958, 47
621, -359, 73
632, -1080, 40
628, 689, 37
627, -545, 57
636, -620, 59
634, -207, 62
647, -383, 67
651, -1000, 46
655, -490, 50
601, 1015, 24
659, 1006, 25
628, -1422, 29
660, -234, 65
659, -20, 22
667, -867, 42
664, -1141, 42
667, -710, 71
674, -1220, 35
677, 880, 25
685, -653, 62
685, -1330, 34
679, -552, 57
689, -414, 67
688, -127, 32
655, 290, 24
696, -937, 37
638, -1567, 49
708, -1549, 24
719, 741, 28
712, -1434, 33
726, -1034, 42
738, -329, 74
732, -436, 57
734, 361, 20
748, -801, 42
745, 185, 22
717, 501, 29
739, -243, 62
735, -549, 57
743, -1129, 32
760, -1279, 43
765, -671, 57
765, 1002, 24
680, 1077, 33
781, 592, 29
751, -127, 36
786, -598, 46
797, -270, 62
797, 852, 35
798, -455, 57
800, -938, 29
800, -148, 26
722, -1700, 31
809, -1638, 23
825, -548, 39
821, -768, 41
794, 735, 30
820, -343, 67
831, -998, 34
827, -1418, 23
839, -3, 33
845, 648, 34
847, -406, 67
838, 488, 21
845, 1053, 25
833, 382, 21
850, -698, 42
858, -89, 29
835, -1298, 24
858, -1547, 23
869, -580, 37
871, -192, 37
884, -542, 43
887, 796, 32
891, -247, 28
881, -1757, 23
894, -1245, 31
906, 923, 28
914, -637, 37
815, 1180, 23
914, 1124, 24
913, -1137, 27
918, -727, 34
920, -1667, 24
927, -470, 37
910, -805, 41
922, -1057, 26
927, -1457, 23
931, 574, 24
931, 103, 42
924, 314, 33
934, -355, 37
934, -938, 28
925, -1327, 23
929, 1053, 31
939, -46, 29
945, -536, 34
956, -596, 26
836, -1877, 35
952, -1806, 24
967, 864, 29
978, 64, 33
986, 994, 27
989, 724, 26
989, -308, 28
994, -416, 29
999, -796, 29
1007, 191, 39
1009, -1100, 30
1011, 121, 41
1022, -245, 38
1025, -555, 28
1019, -1625, 24
1046, -1395, 28
1049, -15, 29
1056, -605, 24
1055, -1315, 24
1047, 845, 36
1065, 1045, 27
883, -1947, 25
1063, -1935, 29
1073, -365, 28
1060, -925, 27
1074, -465, 36
1080, 35, 41
1083, -1165, 28
1074, 326, 40
1090, -154, 27
1078, -755, 36
923, 1263, 32
1093, -1714, 35
961, -2067, 27
1086, -2033, 36
1096, 936, 29
1072, -1805, 27
1086, 127, 47
1098, -1534, 25
1099, -854, 26
1101, -1024, 25
1104, 69, 47
1110, -94, 31
1108, 806, 29
1101, -244, 29
1134, 1106, 29
1141, -1591, 36
1144, -677, 25
1144, -1224, 24
1146, -1364, 24
1054, -2211, 38
1136, -2164, 32
1147, -2208, 38
1163, -1858, 36
1142, 145, 54
1164, 85, 47
1167, -1433, 27
1161, -446, 28
1171, -1753, 27
1185, 1007, 30
1181, 577, 37
1189, -23, 35
1173, 397, 40
1195, -814, 33
1191, 932, 37
1110, 1253, 25
1208, -753, 29
1206, -1515, 26
1214, 347, 48
1216, 147, 52
1222, 477, 51
1224, 1127, 37
1233, -1953, 28
1240, -152, 30
1232, 634, 47
1231, 67, 52
1243, -352, 29
1239, -62, 43
1252, -1812, 28
1252, 596, 39
1260, 237, 55
1258, -665, 34
1266, 700, 44
1231, -1023, 28
1139, -2346, 25
1248, -2332, 24
1244, -462, 31
1269, -1632, 36
1285, -2072, 27
1286, -242, 40
1277, -2212, 28
1281, -1250, 25
1296, 198, 44
1297, 118, 57
1300, -932, 29
1300, -1712, 28
1303, -1142, 28
1295, 1008, 32
1306, -2142, 34
1312, -1862, 33
1316, 667, 52
1314, -1992, 28
1335, 1069, 40
1339, 789, 61
1342, -301, 29
1339, -1581, 37
1331, 589, 46
1348, -799, 35
1348, -2291, 22
1344, 379, 55
1354, -401, 34
1352, -1051, 28
1347, -1481, 29
1345, -1301, 31
1349, -71, 34
1356, -1396, 34
1366, -567, 36
1347, -651, 28
1369, 233, 52
1372, 509, 43
1334, 1241, 29
1378, -1192, 32
1380, -729, 37
1405, 1238, 36
1383, 641, 42
1385, 299, 49
1381, -221, 30
1391, 705, 58
1400, -140, 32
1405, -463, 37
1406, 150, 53
1407, -2230, 21
1405, -1260, 26
1393, 96, 47
1419, 370, 63
1429, -351, 37
1429, -663, 36
1425, -540, 28
1406, -1846, 48
1438, 10, 45
1435, 544, 51
1443, 440, 59
1442, -1141, 27
1444, 750, 62
1445, 1020, 38
1443, 101, 47
1449, 1055, 42
1448, -1682, 30
1448, 284, 52
1441, -1020, 24
1457, 920, 46
1458, -791, 32
1450, -920, 27
1450, 640, 28
1466, 211, 55
1462, 165, 52
1475, -2082, 35
1471, 1134, 41
1475, 525, 47
1488, -719, 28
1486, -1562, 42
1498, 1233, 32
1483, -379, 28
1493, -1919, 30
1499, -69, 35
1501, -197, 38
1504, 823, 67
1505, 265, 52
1502, -629, 29
1291, -2581, 64
1507, -1419, 40
1433, -2670, 72
1512, -2592, 75
1507, 358, 62
1517, 128, 47
1517, 774, 62
1518, -2329, 33
1521, -1749, 38
1524, -1999, 25
1536, 178, 47
1536, -2139, 21
1539, -1639, 34
1537, 435, 59
1544, 689, 42
1544, -867, 33
1544, -1199, 34
1544, -516, 37
1550, 489, 42
1545, 252, 41
1562, -1078, 31
1564, 1152, 36
1568, -1508, 37
1567, 862, 58
1571, 336, 57
1581, 572, 33
1580, 783, 66
1586, 1002, 45
1589, -788, 28
1590, 201, 37
1589, 116, 37
1602, -278, 26
1603, 402, 55
1480, -2759, 80
1612, -152, 31
1614, -672, 36
1612, 506, 42
1627, 1072, 57
1609, -38, 31
1617, -388, 30
1627, -2208, 21
1636, -439, 26
1622, 674, 47
1644, 292, 37
1639, -1607, 39
1620, -527, 27
1649, 62, 35
1640, -917, 33
1648, -2307, 16
1657, -339, 28
1656, 538, 33
1654, 752, 62
1659, -990, 38
1646, 213, 31
1666, -2137, 23
1614, -2756, 55
1662, -2627, 58
1666, 943, 57
1669, -590, 36
1666, -1397, 50
1671, -1727, 53
1673, 427, 47
1679, -837, 29
1672, -272, 29
1691, -403, 27
1678, -520, 30
1691, -462, 33
1692, -655, 32
1693, -1117, 30
1700, -1817, 58
1702, 245, 33
1704, 820, 74
1704, 709, 58
1704, -2675, 63
1708, -736, 30
1711, -186, 26
1694, 308, 36
1720, 617, 42
1719, -16, 27
1710, 38, 27
1725, -2416, 30
1725, -1286, 49
1723, -346, 26
1730, -512, 30
1711, 1223, 40
1729, -590, 35
1733, 394, 46
1747, 144, 26
1744, -269, 31
1757, -78, 27
1760, -896, 43
1761, -445, 29
1767, 884, 59
1751, -986, 32
1773, -796, 35
1769, -1626, 54
1768, -1556, 44
1783, 455, 45
1781, -2556, 35
1789, 680, 62
1798, -564, 33
1799, -124, 28
1797, -728, 38
1795, -615, 39
1802, -507, 38
1808, -2325, 33
1809, -676, 41
1792, -275, 30
1812, -325, 36
1816, 215, 26
1780, -2426, 24
1820, -1705, 56
1821, 20, 31
1805, -1255, 43
1820, 1073, 70
1828, 815, 63
1828, -865, 36
1822, -1025, 41
1837, 90, 29
1837, -1445, 59
1836, 348, 40
1845, 265, 27
1845, 741, 75
1813, -2753, 56
1851, 545, 33
1848, 639, 50
1853, -220, 33
1856, -708, 37
1859, -34, 30
1866, 996, 55
1858, -2527, 48
1867, -2195, 36
1832, -1875, 50
1864, -2025, 41
1858, -141, 30
1875, -441, 32
1882, -2624, 41
1880, -608, 43
1883, -384, 29
1887, -269, 37
1888, -784, 36
1883, -514, 32
1903, -1154, 44
1909, -1634, 58
1904, -914, 48
1906, -1384, 62
1911, -1754, 64
1915, -1314, 48
1917, 611, 47
1923, 396, 28
1925, 1076, 59
1932, -323, 29
1934, -474, 33
1940, -564, 37
1939, -195, 31
1939, -1233, 59
1927, -704, 47
1935, -2074, 49
1943, 710, 70
1946, -409, 33
1894, 1214, 68
1942, 495, 35
1948, -1533, 58
1946, -253, 28
1952, -1803, 66
1942, -624, 36
1952, -1060, 57
1927, 96, 35
1955, -100, 28
1933, -26, 38
1957, -2456, 52
1960, 204, 32
1954, 869, 74
1957, -2238, 42
1964, -878, 58
1971, -973, 49
1973, -1923, 57
1976, 762, 66
1982, 928, 72
1982, -2593, 38
1989, -535, 32
1991, 301, 32
1994, -443, 27
1994, -213, 27
1997, -808, 48
1996, 61, 38
2018, 1207, 55
2006, -140, 30
2008, -49, 28
2002, -695, 39
2013, -1135, 49
2014, 642, 37
1986, -2749, 40
2016, -2113, 50
2010, -1643, 66
2012, 1077, 68
2027, -632, 36
2031, -755, 46
2033, -871, 67
2030, 476, 36
2041, -2502, 40
2042, -312, 25
2042, -1840, 72
2043, 408, 27
2051, -1747, 82
2035, -546, 37
2051, -809, 56
2059, -175, 29
2053, -1258, 62
2058, 848, 59
2039, -972, 54
2065, -852, 63
2063, -1976, 68
2068, -1193, 60
2055, 1048, 49
2070, 138, 32
2067, -2321, 62
2068, -688, 48
2068, 786, 62
2068, -465, 31
2058, -1502, 62
2080, -592, 38
2080, 253, 43
2082, -1052, 44
2080, -13, 30
2079, -405, 26
2076, 938, 63
2089, -2208, 64
2090, -764, 54
2095, 722, 42
2095, -235, 24
2090, 669, 35
2101, -1417, 71
2081, -321, 25
2103, -70, 29
2101, -840, 69
2105, -2051, 49
2105, -541, 36
2109, -2401, 45
2112, -1801, 82
2108, -2545, 46
2122, 894, 62
2124, 1119, 56
2129, 618, 37
2130, -1661, 76
2132, 539, 28
2135, -1334, 67
2136, -504, 37
2138, -1119, 61
2139, 759, 41
2141, -697, 53
2145, -619, 48
2142, -162, 25
2152, -2621, 42
2117, 139, 30
2147, -757, 66
2159, -2351, 47
2162, -541, 40
2166, -366, 27
2167, -1461, 74
2152, -241, 23
2167, 369, 39
2165, -2746, 47
2176, 1000, 56
2166, -2181, 48
2188, -96, 27
2189, -790, 57
2192, -634, 54
2185, 250, 31
2194, -470, 35
2205, 836, 37
2206, -1400, 70
2206, -698, 66
2213, -1920, 62
2199, 1198, 62
2205, 1140, 59
2221, -2510, 50
2226, 210, 35
2214, -544, 48
2225, -1333, 66
2232, -200, 23
2235, -5, 25
2232, -1020, 59
2243, -2670, 43
2247, -656, 62
2252, -1748, 76
2248, -127, 23
2250, 80, 27
2246, -1107, 61
2249, -720, 54
2253, 554, 36
2250, 621, 31
2258, 715, 35
2262, -428, 37
2258, -1519, 54
2263, -379, 34
2267, 891, 38
2271, -268, 27
2272, -2249, 67
2274, -1249, 28
2275, -2099, 59
2276, 961, 44
2268, -2329, 49
2279, -2409, 45
2275, -1623, 57
2285, 301, 36
2284, -1989, 51
2263, 376, 28
2288, 1073, 69
2290, -899, 83
2291, -592, 66
2280, -537, 54
2303, 461, 30
2303, -485, 46
2307, 131, 24
2309, -156, 24
2318, 832, 43
2324, -449, 41
2330, 662, 29
2326, -97, 24
2332, -1839, 84
2337, 1141, 73
2327, -608, 58
2341, -710, 64
2348, -528, 61
2339, -8, 23
2352, -2578, 46
2341, -1728, 72
2356, -2081, 69
2367, -804, 83
2367, -2188, 71
2365, -1298, 40
2342, -268, 32
2372, -1048, 54
2358, -1498, 43
2390, -1234, 44
2390, 622, 27
