2009,1,4,19,3.6,170,16,1014.65,0.824,16.9,0
2009,1,4,20,0,0,16,1014.65,0.772,23.07,0
2009,1,4,21,3.6,160,15,1019,0.823,15.8,0
2009,1,4,22,3.6,170,15,1019.3,0.823,15.8,0
2009,1,4,23,7.56,160,14,1019.3,0.821,13.79,0
2009,1,5,0,9.36,160,14,1019.6,0.878,13.51,0
2009,1,5,1,9.36,160,14,1018.4,0.768,13.51,0
2009,1,5,2,5.4,180,14,1018.4,0.768,14.21,0
2009,1,5,3,3.6,160,13.8,1017.2,0.907,14.47,0
2009,1,5,4,5.4,170,15,1018.1,0.878,15.35,0
2009,1,5,5,9.36,170,17,1018.1,0.773,17.07,0
2009,1,5,6,11.16,200,18.5,1019,0.699,18.69,0
2009,1,5,7,3.6,230,21,1017.65,0.686,22.44,0
2009,1,5,8,16.56,280,23,1017.65,0.534,23.89,0
2009,1,5,9,16.56,280,22.7,1016.3,0.54,23.52,0
2009,1,5,10,18.36,290,23,1015.95,0.5,23.84,0
2009,1,5,11,22.32,270,23,1015.95,0.5,23.72,0
2009,1,5,12,22.32,270,22.3,1015.6,0.491,22.83,0
2009,1,5,13,16.56,270,21,1016.05,0.462,21.41,0
2009,1,5,14,14.76,270,20,1016.05,0.459,20.27,0
2009,1,5,15,7.56,270,18.5,1016.5,0.601,19.05,0
2009,1,5,16,3.6,260,17,1016.85,0.678,18.01,0
2009,1,5,17,3.6,170,16,1016.85,0.676,16.9,0
2009,1,5,18,5.4,160,14.8,1017.2,0.701,15.12,0
2009,1,5,19,9.36,200,14,1016.75,0.719,13.51,0
2009,1,5,20,5.4,170,14,1016.75,0.719,14.21,0
2009,1,5,21,7.56,180,13.4,1016.3,0.732,13.09,0
2009,1,5,22,9.36,170,13,1016.05,0.717,12.32,0
2009,1,5,23,9.36,160,14,1016.05,0.719,13.51,0
2009,1,6,0,9.36,170,14.2,1015.8,0.759,13.75,0
2009,1,6,1,3.6,160,15,1016.15,0.72,15.8,0
2009,1,6,2,9.36,160,15,1016.15,0.72,14.7,0
2009,1,6,3,11.16,170,16,1016.5,0.742,15.68,0
2009,1,6,4,9.36,160,17,1017.45,0.724,17.07,0
2009,1,6,5,11.16,170,18,1017.45,0.68,18.09,0
2009,1,6,6,12.96,190,19.1,1018.4,0.606,19.28,0
2009,1,6,7,9.36,250,21,1013.1,0.564,21.83,0
2009,1,6,8,7.56,250,22,1013.1,0.497,23.14,0
2009,1,6,9,12.96,260,21.5,1016,0.516,22.2,0
2009,1,6,10,12.96,270,22,1015.3,0.497,22.81,0
2009,1,6,11,7.56,290,22,1015.3,0.465,23.14,0
2009,1,6,12,9.36,250,22.2,1014.6,0.511,23.25,0
2009,1,6,13,12.96,250,21,1015.3,0.494,21.59,0
2009,1,6,14,9.36,250,19,1015.3,0.682,19.45,0
2009,1,6,15,5.4,250,18.1,1016,0.685,18.89,0
2009,1,6,16,4.4,220,17.1,1016,0.785,17.89,0
2009,1,6,17,3.6,160,16,1016,0.824,16.9,0
2009,1,6,18,3.6,100,16,1016,0.792,16.9,0
2009,1,6,19,0,0,16,1016,0.772,23.07,0
2009,1,6,20,0,0,16,1016,0.824,23.07,0
2009,1,6,21,3.6,120,15.5,1016.1,0.818,16.35,0
