1,3,220,
2,4,180,
3,5,330,
4,5,320,
5,5,190,
6,5,330,
7,6,120,
8,5,120,

9,5,130,
10,3,320,
11,3,90,
12,3,330,
13,4,280,
14,4,90,
15,4,230,
16,5,310,
17,5,330,
18,5,330,
19,5,340,

20,6,200,
21,4,350,
22,5,330,
23,5,280,
24,4,290,
25,3,210,
26,4,150,
27,5,200,
28,5,290,
29,5,230,
30,4,270,
31,6,100,
32,5,100,
33,4,100,
34,4,140,
35,5,270,

36,3,110,
37,4,130,
38,4,270,

39,4,200,
40,5,280,

41,5,300,
42,5,310,

43,5,150,
44,5,290,

45,5,110,
46,3,130,

47,3,170,
48,4,170,

49,4,230,
50,4,260,

51,4,340,
52,4,260,

53,5,90,
54,5,120,

55,6,110,
56,5,100,

57,5,300,
58,4,90,
59,4,240,

60,6,210,

61,5,280,
62,4,200,

63,5,120,
64,5.2,210,
65,5.5,300,

66,5.4,300,

67,6.2,210,
68,5.9,100,

69,5,300,
70,5,300,
71,4,270,

72,5,120,
73,4,280,

74,5,310,
75,5,120,
76,5,320,

77,5,310,
78,6,100,

79,6,100,
80,6,350,

81,6,350,
82,5,90,
83,4,300,

84,4,310,
85,5,110,

86,5,270,
87,4,260,

88,5,120,
89,6,290,

90,6,90,
91,6,340,
92,7,100,
93,6,100,

94,5,300,
95,5,320,

96,4,260,
97,4,160,

98,4.6,340,

99,5.4,100,
100,5.1,100,

101,5.8,270,
102,6,260,
103,5.6,100,

104,5,80,
105,5,260,

106,5.7,340,

107,5.8,280,
108,4.6,180,
