1, 0, -0.834, 0.516, -9.952
1, 1, 0.367, 0.531, -9.979
1, 2, 1.564, 0.475, -9.865
1, 3, 2.734, 0.352, -9.613
1, 4, 3.857, 0.162, -9.225
1, 5, 4.914, -0.091, -8.709
1, 6, 5.888, -0.402, -8.073
1, 7, 6.76, -0.766, -7.329
1, 8, 7.518, -1.177, -6.488
1, 9, 8.147, -1.629, -5.566
1, 10, 8.636, -2.112, -4.579
1, 11, 8.978, -2.62, -3.541
1, 12, 9.166, -3.142, -2.472
1, 13, 9.198, -3.671, -1.388
1, 14, 9.072, -4.198, -0.29
1, 15, 8.788, -4.71, 0.762
1, 16, 8.357, -5.204, 1.755
1, 17, 7.783, -5.669, 2.699
1, 18, 7.076, -6.097, 3.571
1, 19, 6.248, -6.481, 4.354
1, 20, 5.313, -6.815, 5.033
1, 21, 4.288, -7.091, 5.598
1, 22, 3.188, -7.307, 6.038
1, 23, 2.034, -7.457, 6.345
1, 24, 0.846, -7.54, 6.514
1, 25, -0.358, -7.554, 6.543
1, 26, -1.554, -7.499, 6.431
1, 27, -2.725, -7.374, 6.18
1, 28, -3.848, -7.186, 5.793
1, 29, -4.907, -6.933, 5.278
1, 30, -5.881, -6.621, 4.645
1, 31, -6.754, -6.257, 3.902
1, 32, -7.512, -5.846, 3.065
1, 33, -8.142, -5.395, 2.147
1, 34, -8.633, -4.91, 1.17
1, 35, -8.976, -4.403, 0.182
1, 36, -9.168, -3.88, -0.945
1, 37, -9.2, -3.351, -2.031
1, 38, -9.076, -2.823, -3.108
1, 39, -8.796, -2.308, -4.16
1, 40, -8.366, -1.813, -5.17
1, 41, -7.792, -1.347, -6.121
1, 42, -7.086, -0.918, -6.997
1, 43, -6.257, -0.533, -7.782
1, 44, -5.322, -0.199, -8.464
1, 45, -4.297, 0.079, -9.03
1, 46, -3.197, 0.295, -9.47
1, 47, -2.043, 0.447, -9.779
1, 48, -0.854, 0.53, -9.949
2, 0, -1.291, 1.501, -9.802
2, 1, -0.046, 1.541, -9.88
2, 2, 1.201, 1.509, -9.812
2, 3, 2.427, 1.406, -9.599
2, 4, 3.611, 1.232, -9.243
2, 5, 4.736, 0.993, -8.751
2, 6, 5.777, 0.691, -8.133
2, 7, 6.722, 0.331, -7.396
2, 8, 7.55, -0.079, -6.557
2, 9, 8.251, -0.534, -5.625
2, 10, 8.809, -1.025, -4.621
2, 11, 9.217, -1.544, -3.559
2, 12, 9.467, -2.081, -2.458
2, 13, 9.556, -2.628, -1.335
2, 14, 9.481, -3.176, -0.176
2, 15, 9.24, -3.714, 0.908
2, 16, 8.845, -4.234, 1.959
2, 17, 8.299, -4.728, 2.964
2, 18, 7.609, -5.187, 3.899
2, 19, 6.791, -5.6, 4.745
2, 20, 5.855, -5.964, 5.49
2, 21, 4.821, -6.271, 6.118
2, 22, 3.702, -6.517, 6.62
2, 23, 2.521, -6.696, 6.987
2, 24, 1.297, -6.805, 7.212
2, 25, 0.05, -6.843, 7.292
2, 26, -1.198, -6.809, 7.225
2, 27, -2.425, -6.704, 7.013
2, 28, -3.612, -6.529, 6.658
