2305, -583, 66
2165, -753, 66
2109, -828, 67
2136, -523, 40
1691, -216, 28
1792, -738, 38
1782, -698, 35
1233, -287, 35
1545, -425, 31
1404, -395, 35
1833, -281, 32
1840, 31, 29
1814, -76, 28
1905, -69, 33
1938, -72, 35
1916, -113, 34
2191, -126, 23
2361, -401, 40
2336, -411, 46
2235, -602, 62
2261, -657, 62
2208, -623, 56
1779, -504, 35
1800, -568, 34
1560, -487, 34
1586, -547, 29
1716, -444, 30
2012, 56, 38
1733, 142, 28
1815, 180, 28
2145, -347, 25
2191, -316, 25
2248, -251, 25
1664, -381, 30
1779, 47, 30
1896, -17, 35
1985, 107, 39
2086, -51, 30
1887, -156, 33
1641, -203, 29
1771, -653, 39
1808, -816, 39
2001, -477, 29
1939, -502, 32
1845, -484, 37
1313, -259, 35
1571, -467, 29
1829, -453, 32
1685, -541, 32
1907, 21, 32
2057, -37, 29
1992, -48, 29
1938, -43, 38
1976, -47, 32
1972, -73, 29
1910, -240, 35
2014, -289, 29
1928, -566, 41
1957, -596, 38
1995, -625, 41
2034, -840, 59
1992, -805, 47
1975, -786, 44
1917, -764, 38
2063, -763, 50
2035, -766, 47
1579, -810, 30
1281, -486, 31
1324, -523, 32
1434, -435, 33
1548, -352, 29
1490, -311, 32
1540, -183, 30
1580, -114, 30
1645, -154, 29
1635, -88, 32
1752, 64, 29
1886, 139, 32
2020, 86, 35
2067, -135, 26
2100, -136, 26
2355, -369, 41
2414, -396, 44
2379, -436, 47
2439, -460, 59
2408, -451, 53
2447, -534, 59
2245, -418, 35
2210, -413, 35
2307, -472, 44
2229, -451, 38
2253, -462, 41
2208, -718, 66
2310, -657, 62
2160, -674, 56
2026, -558, 35
2058, -553, 37
2082, -570, 38
1920, -650, 37
1947, -675, 44
1860, -558, 35
1849, -593, 38
1816, -657, 38
1712, -665, 35
1837, -678, 41
1577, -766, 29
1620, -732, 29
1567, -708, 32
1787, -830, 41
1801, -778, 38
1773, -793, 35
1731, -809, 32
1652, -854, 29
1660, -891, 32
1695, -914, 35
1740, -911, 41
1804, -889, 38
1759, -1095, 35
1683, -1013, 35
1776, -1029, 38
1712, -981, 35
1694, -957, 38
1770, -930, 38
1850, -964, 41
1855, -933, 44
1914, -947, 53
1682, -670, 35
1838, -707, 38
1825, -728, 41
1858, -652, 38
2010, -641, 38
1971, -640, 38
2078, -617, 41
2155, -643, 56
2124, -643, 50
2091, -666, 47
2024, -670, 41
2094, -694, 53
2110, -695, 56
1875, -682, 38
1881, -344, 32
1756, -522, 32
2428, -569, 59
1399, -424, 32
1333, -380, 32
1755, -421, 29
1807, -359, 32
2043, -271, 26
2065, -381, 26
1568, -586, 32
1609, -916, 29
1679, -72, 29
1632, -42, 32
1571, -84, 38
1500, -149, 35
1518, -176, 35
1531, -137, 35
1501, -236, 35
1465, -321, 35
1451, -364, 32
2048, -460, 29
2221, -380, 32
2241, -326, 29
2164, -393, 29
2291, -276, 29
2304, -303, 32
2259, -343, 32
2163, -439, 35
2105, -450, 32
1978, -899, 62
2110, -769, 59
2102, -799, 62
2471, -552, 63
2532, -477, 59
2322, -202, 29
2307, -183, 26
2133, -25, 26
2213, -59, 23
2043, 36, 32
1211, -257, 32
1264, -216, 35
1464, -603, 29
1470, -536, 32
1480, -748, 29
1910, -508, 32
1300, -229, 38
1604, -8, 35
2051, -485, 32
1729, -858, 35
1681, -979, 38
1811, -1057, 38
1865, -1015, 47
1915, -908, 50
1891, -906, 47
1903, -837, 41
1854, -844, 38
1914, -873, 50
1792, -951, 35
1849, -902, 41
1971, -843, 53
1978, -875, 59
1955, -875, 56
2003, -816, 50
2046, -820, 56
2060, -841, 62
2074, -795, 56
2174, -723, 65
2180, -673, 59
2201, -732, 62
2123, -749, 62
2079, -691, 50
2035, -794, 53
1938, -808, 44
2229, -559, 53
2249, -513, 47
2263, -492, 44
2263, -543, 53
2385, -480, 53
2396, -365, 41
2217, -746, 59
2264, -710, 56
2383, -564, 51
2368, -516, 59
1922, -740, 41
1943, -704, 47
2162, -629, 53
2093, -630, 44
2091, -592, 38
2126, -593, 44
2147, -596, 47
2149, -569, 41
2201, -576, 50
2201, -530, 44
2241, -533, 47
2255, -570, 59
2302, -527, 56
2278, -510, 50
2308, -541, 59
2395, -444, 50
2411, -427, 47
2315, -382, 38
2289, -430, 41
2401, -478, 56
2474, -475, 56
1463, -393, 29
1552, -631, 32
1511, -573, 29
1353, -252, 32
1199, -379, 32
1432, -583, 29
1652, -972, 32
1934, -963, 56
2306, -678, 62
2350, -621, 58
2451, -567, 62
2507, -444, 59
1823, -391, 32
1794, -329, 32
2118, -63, 29
1912, -285, 32
1405, -570, 32
1422, -672, 35
1385, -123, 35
1688, 108, 32
1608, 47, 35
2044, -878, 65
1428, -313, 35
1455, -238, 35
1488, -96, 35
1409, -105, 35
1356, -201, 35
2146, 29, 29
2286, -155, 23
2234, -87, 23
2132, -82, 26
2430, -344, 41
2400, -606, 62
2335, -656, 63
2201, -673, 62
2327, -608, 58
2230, -736, 59
2181, -774, 59
2123, -818, 62
2143, -725, 59
2061, -505, 35
2323, -334, 35
2383, -282, 35
1518, -796, 29
1568, -863, 32
1497, -770, 32
1522, -672, 29
1442, -698, 32
1311, -180, 35
1933, -849, 47
2035, -730, 47
2471, -397, 47
2343, -489, 50
1373, -608, 29
1533, -566, 29
1870, -886, 44
2031, -709, 44
2390, -420, 44
1627, -8, 32
1426, -493, 32
1391, -333, 32
1373, -255, 32
1396, -178, 32
1893, -713, 41
2185, -520, 41
2456, -378, 41
2016, 198, 38
1919, 83, 35
1963, 150, 35
1998, 222, 35
1993, 11, 35
2053, 107, 32
1855, -112, 32
1947, 177, 32
1975, 252, 32
1568, -38, 38
1488, -44, 38
2218, -586, 56
2354, -503, 56
2082, -766, 53
2487, -418, 53
1688, -791, 36
2453, -510, 53
2419, -504, 56
1550, -541, 32
1389, -564, 35
1448, -542, 29
1602, -415, 26
2167, -122, 26
1988, -148, 29
2085, -165, 29
1475, -496, 29
1548, -462, 29
1591, -221, 32
1858, -421, 32
1757, -398, 32
1715, -609, 32
1914, -418, 32
1676, -485, 32
1948, -433, 32
1743, -592, 35
1617, -685, 35
1671, -579, 35
1771, -554, 36
1483, -259, 38
2151, -477, 38
1870, -623, 41
2122, 59, 29
2063, 5, 29
1961, -179, 29
1935, -255, 29
1948, -334, 29
1991, -365, 29
2103, -422, 29
1677, -770, 32
1723, -706, 32
1645, -692, 32
1628, -621, 32
1869, -441, 32
1989, -535, 32
2339, -224, 32
1814, -999, 38
1736, -877, 38
2340, -351, 38
2416, -325, 38
1803, -417, 29
1663, 2, 29
1564, -289, 29
1544, -394, 29
1666, -527, 29
1662, -447, 29
1729, -404, 29
1727, -324, 29
1665, -289, 29
1801, -225, 29
1837, -153, 29
1911, 221, 29
1936, 297, 29
2054, -218, 26
2143, -501, 37
2094, -515, 38
2107, -560, 35
1658, -202, 27
1741, -789, 34
1774, -768, 38
1708, -732, 31
1371, -499, 34
1361, -511, 32
1359, -547, 32
1336, -480, 31
1351, -466, 32
1384, -494, 36
1215, -328, 32
1263, -300, 30
1323, -272, 31
1512, -474, 28
1455, -437, 30
1539, -440, 28
1570, -419, 27
1636, -439, 26
1589, -452, 26
1236, -428, 30
1374, -386, 33
1430, -277, 35
1437, -234, 33
1456, -166, 33
1804, -289, 30
1934, -119, 29
2099, 5, 27
1941, 136, 34
1976, 119, 38
1863, 187, 28
1895, 108, 32
1850, 127, 29
1888, 76, 32
1844, 73, 29
1894, -147, 32
2123, -166, 24
2344, -382, 39
2406, -375, 40
1831, -748, 42
2292, -474, 45
2312, -432, 45
2306, -451, 45
2325, -559, 61
1653, -433, 27
1790, -544, 34
1553, -513, 37
1772, 131, 26
2095, -357, 25
2073, -282, 25
2092, -244, 24
1952, -406, 33
1881, -488, 33
1895, -468, 33
1879, -470, 38
1632, -349, 27
1880, -29, 32
1824, -25, 28
1793, 0, 28
1770, 31, 28
1860, 0, 32
1965, 57, 37
1977, 84, 37
1908, 63, 32
1941, 70, 35
2027, 109, 39
2092, -46, 28
2095, -61, 28
2046, -74, 30
1889, -216, 30
1864, -242, 33
1940, -144, 28
1741, -282, 31
1991, -740, 44
1984, -710, 39
1833, -826, 37
1862, -762, 43
2289, -598, 67
1849, -506, 34
1275, -337, 29
1621, -481, 28
1794, -447, 29
1780, -469, 30
1737, -490, 30
1705, -551, 30
1691, -503, 29
1701, -583, 32
1715, -596, 34
1942, 21, 35
1798, 64, 28
2007, 12, 31
1997, -8, 31
1982, -10, 35
2024, -137, 30
1990, -262, 27
1990, -322, 31
1981, -402, 30
1993, -436, 27
2018, -478, 29
2010, -507, 31
1961, -492, 30
1920, -540, 38
1964, -540, 32
1943, -557, 35
1960, -566, 35
2014, -612, 41
1953, -628, 36
1950, -615, 36
1927, -623, 36
1865, -696, 37
1849, -720, 37
1906, -727, 44
1802, -877, 36
1815, -925, 38
1715, -918, 38
1707, -906, 35
1675, -879, 32
1692, -886, 32
1766, -868, 42
1790, -901, 41
1792, -1057, 36
1752, -1043, 35
1722, -1004, 36
1848, -1014, 44
1899, -968, 50
1887, -974, 47
1869, -971, 44
1835, -913, 39
1826, -932, 39
1846, -917, 41
1865, -919, 44
1898, -916, 47
1864, -904, 44
1877, -896, 47
1901, -892, 50
1918, -894, 53
1960, -907, 62
1948, -901, 59
1936, -897, 56
2005, -900, 65
2013, -870, 65
1998, -863, 62
1991, -855, 59
1983, -849, 56
1958, -766, 41
1957, -743, 41
2022, -776, 50
2012, -754, 47
2053, -804, 56
2064, -810, 59
2082, -820, 65
2071, -817, 62
2139, -755, 65
2112, -746, 59
2096, -742, 56
2078, -739, 53
2120, -709, 56
